event_type,genre_family
Rock,Rock & Metal
Metal,Rock & Metal
Punk,Rock & Metal
Hardcore,Rock & Metal
Garage,Rock & Metal
Techno,Électronique
Electro,Électronique
House,Électronique
DJ set,Électronique
Dub,Électronique
Jazz,Jazz & Soul
Blues,Jazz & Soul
Soul,Jazz & Soul
Funk,Jazz & Soul
Swing,Jazz & Soul
Hip-Hop,Hip-Hop & RnB
RnB,Hip-Hop & RnB
Classique,Classique & Contemp.
Musique Contemporaine,Classique & Contemp.
Folk,Classique & Contemp.
Chanson,Chanson & Pop
Pop,Chanson & Pop
Variete,Chanson & Pop
Musiques du monde,Musiques du monde
Musiques Latines,Musiques du monde
Reggae,Musiques du monde
Ciné-concert,Spectacles
Cirque,Spectacles
Slam,Spectacles
Spectacle musical,Spectacles
Comédie musicale,Spectacles
Opéra,Spectacles
Concert,Concert
